L0,L1,L2,L3,L4,L5,value
2101,14512,14532,,,,27305.3026866253
2101,14512,14541,,,,11227.4386413455
2101,14512,16741,,,,13638.1896959291
2101,14512,22327,,,,14457.5387621402
2101,14512,22331,,,,20080.1549126548
2101,14512,22332,,,,25753.8149321386
2101,14512,22341,,,,13075.1025472856
2101,14512,24151,,,,49559.827885322
2101,14512,24152,,,,11131.1785297546
2101,14512,33850,,,,11626.3023932718
2101,14512,0,,,,224339.146306786
2101,15669,34881,,,,32479.2101525725
2101,15669,0,,,,21577.3339557431
2101,15682,15697,,,,24691.4286272331
2101,15682,15701,,,,53644.5962435464
2101,15682,15702,,,,27435.0843049044
2101,15682,15711,,,,26254.0171107391
2101,15682,20377,,,,12658.133731212
2101,15682,20381,,,,36125.7526978168
2101,15682,20382,,,,12099.6291109175
2101,15682,20391,,,,16521.2694396393
2101,15682,0,,,,31345.8287457013
2101,16839,29446,,,,11217.5411090668
2101,16839,34765,,,,13582.4944222322
2101,16839,34890,,,,9526.96090457425
2101,16839,0,,,,24229.7432346763
2101,16852,16867,,,,28585.4083694391
2101,16852,16871,,,,115949.106751381
2101,16852,16872,,,,66236.863325346
2101,16852,16881,,,,20765.1302296708
2101,16852,0,,,,42474.0156629307
2101,16871,0,,,,8952.38483585505
2101,17762,0,,,,23318.4777486039
2101,18009,0,,,,13835.8725465223
2101,18022,18041,,,,13664.7353352847
2101,18022,18042,,,,9446.81855733068
2101,18022,0,,,,23169.3084983684
2101,18789,34842,,,,11751.8010399077
2101,18789,34867,,,,9051.68391634969
2101,18789,34905,,,,9759.97014626917
2101,18789,0,,,,27784.8032705173
2101,18802,18817,,,,29520.3365465427
2101,18802,18819,,,,17631.2907715082
2101,18802,18822,,,,145022.307187068
2101,18802,18826,,,,19940.6917142925
2101,18802,18831,,,,39529.6576259769
2101,18802,0,,,,7680.01637107429
2101,18822,18838,,,,19418.2040348153
2101,18822,0,,,,11323.8370218043
2101,19829,26617,,,,8809.96994283488
2101,19829,29446,,,,8822.66563615211
2101,19829,34764,,,,68688.4469419435
2101,19829,34810,,,,9463.03672869891
2101,19829,34831,,,,20448.2933123979
2101,19829,34833,,,,27132.4577320495
2101,19829,34867,,,,22517.7511451687
2101,19829,34912,,,,30141.6224150142
2101,19829,0,,,,119773.484459172
2101,19842,6467,,,,15982.7326961456
2101,19842,6471,,,,29022.181023313
2101,19842,6472,,,,16014.792597159
2101,19842,6481,,,,10586.2746042417
2101,19842,19857,,,,100166.463087494
2101,19842,19861,,,,792000.451972212
2101,19842,19862,,,,191511.137027874
2101,19842,19863,,,,17539.640355431
2101,19842,19871,,,,52042.4400089927
2101,19842,21807,,,,14553.4702276288
2101,19842,21812,,,,13507.5180476245
2101,19842,21821,,,,12590.9745980438
2101,19842,0,,,,125165.500971944
2101,20869,34921,,,,146861.476809825
2101,20869,0,,,,16470.5251285395
2101,20882,20897,,,,23559.7212501537
2101,20882,20901,,,,431656.011584347
2101,20882,20902,,,,187248.232818796
2101,20882,20911,,,,27549.6224118594
2101,20882,0,,,,9103.68315225506
2101,21129,34923,,,,120364.28204974
2101,21129,34939,,,,14947.1230506583
2101,21129,0,,,,15941.0355486395
2101,21142,21157,,,,131197.075116876
2101,21142,21158,,,,49043.9252909202
2101,21142,21161,,,,241442.071445559
2101,21142,21162,,,,205522.044586305
2101,21142,21171,,,,27925.2211467329
2101,21142,0,,,,453.907889291829
2101,21662,21682,,,,11225.9269684883
2101,21662,21691,,,,8532.50269714262
2101,21662,0,,,,9182.94905630365
2101,21779,34928,,,,12622.175255308
2101,21779,0,,,,4889.26635283458
2101,21792,21807,,,,26374.3315659619
2101,21792,21812,,,,24478.8187318336
2101,21792,21821,,,,22817.8251367831
2101,21792,0,,,,4157.7657689349
2101,21922,0,,,,14163.1983928287
2101,22299,34932,,,,78989.6573611428
2101,22299,0,,,,13265.0463571403
2101,22312,9717,,,,12097.9325455302
2101,22312,22327,,,,64014.0892916216
2101,22312,22331,,,,88909.5198509429
2101,22312,22332,,,,114030.958919716
2101,22312,22341,,,,57893.0339201904
2101,22312,0,,,,38716.8269304088
2101,22332,0,,,,8732.86702328473
2101,22511,0,,,,8540.12933902571
2101,22559,34934,,,,23609.063717407
2101,22559,0,,,,6767.34978262186
2101,22572,22587,,,,36950.053208831
2101,22572,22591,,,,18742.7171109962
2101,22572,22592,,,,22606.8407153721
2101,22572,22601,,,,14100.3814319367
2101,22572,0,,,,29874.265299149
2101,23092,0,,,,13696.4328692218
2101,23222,33850,,,,12212.7945461807
2101,23222,0,,,,5971.9190975971
2101,23241,23257,,,,18727.5388406448
2101,23241,0,,,,2437.08089062875
2101,33850,0,,,,20434.2005258586
2101,2101,2101,0,,,17091.7681166924
2101,2101,2149,31578,,,21720.0268659698
2101,2101,2149,31652,,,15299.6867936223
2101,2101,2149,34777,,,39510.9711688678
2101,2101,2149,0,,,25657.8760019568
2101,2101,2162,2177,,,64256.0253229621
2101,2101,2162,2181,,,44347.4289109781
2101,2101,2162,2182,,,102592.502209334
2101,2101,2162,2191,,,21505.6334704632
2101,2101,2162,6471,,,10373.4821758329
2101,2101,2162,7251,,,8851.6204366869
2101,2101,2162,14531,,,11437.3127134944
2101,2101,2162,0,,,135484.719821401
2101,2101,3969,31050,,,19170.9405184727
2101,2101,3969,34791,,,11950.2352832247
2101,2101,3969,0,,,26016.019726333
2101,2101,3982,3997,,,61151.5476610941
2101,2101,3982,4001,,,135015.714495615
2101,2101,3982,4002,,,27992.5194241253
2101,2101,3982,4011,,,15855.5506338818
2101,2101,3982,0,,,21730.4302687645
2101,2101,3997,4015,,,8702.93507512842
2101,2101,3997,0,,,3555.47396587031
2101,2101,4001,4017,,,24683.5679315074
2101,2101,4001,0,,,2381.61551115047
2101,2101,14512,0,,,9311.44247779598
2101,2101,19842,19861,,,11212.6315874709
2101,2101,19842,0,,,8475.76955834038
2101,2101,20882,0,,,9614.50431989975
2101,2101,21142,0,,,9281.33891939605
2101,2149,31046,0,,,12117.9484025599
2101,2149,31050,31050,,,37712.4959805911
2101,2149,31050,31135,,,29989.114322658
2101,2149,31050,0,,,81269.2282305763
2101,2149,31059,31110,,,13491.4407455866
2101,2149,31059,0,,,4574.87881953598
2101,2149,31077,0,,,9352.65109446776
2101,2149,31078,34791,,,8578.96646646803
2101,2149,31078,0,,,16595.8206198034
